place,lat,long,value
(CÁRCEL) PENAL GUAYARAMERIN,-10.81292,-65.35279,47.62
(CÁRCEL) PENAL RIBERALTA,-10.99669,-66.0738,40
15 DE AGOSTO,-16.046625,-61.220209,92.82
16 DE FEBRERO,-17.74796,-63.098754,33.87
16 DE JULIO,-17.755441,-63.111464,35.48
19 DE OCTUBRE,-10.52243,-66.15702,50.7
26 DE MARZO,-17.58807,-63.13284,53.28
ANGELINA RIVERA,-17.85304,-63.17871,40.57
AULAS U.A.G.R.M.,-20.03783,-63.52124,42.53
CAMBAO,-17.87344,-63.23442,50
CAMPUS UNIVERSITARIO,-17.77396,-63.1925,16.48
CARCEL DE MUJERES,-14.84692,-64.90281,45.71
CARCEL MOCOBI,-14.77958,-64.90376,51.56
CARCEL PUBLICA (VILLA BUSCH),-11.08489,-68.78143,51.2
CARCEL PUBLICA DE MONTERO,-17.311191,-63.208493,31.82
CENTRO EDUCATIVO SIMON BOLIVAR,-10.83101,-65.36375,36.59
CENTRO INTEGRADO SAN FRANCISCO DE ASIS,-14.82278,-64.88588,27.27
COL  PLACIDO MOLILNA,-17.79406,-63.19062,37
COL.  ANITA SUAREZ DE LEYGUE,-17.825613,-63.240619,43.5
COL.  ELFI RIVERA DE BARBERY,-17.73966,-63.15907,37.21
COL.  PEDRO AÑEZ,-17.76698,-63.11894,35.34
COL. 12 DE DICIEMBRE,-17.820995,-63.130682,38.9
COL. 18 DE MARZO,-17.78999,-63.12068,33.04
COL. 24 DE SEPTIEMBRE,-17.764197,-63.154186,13.16
COL. 27 DE MAYO,-17.80221,-63.1305,44.64
COL. 30 DE MARZO,-17.80647,-63.14708,21.52
COL. 6 DE JUNIO,-11.00458,-66.077,24.44
COL. 6 DE JUNIO,-10.82762,-65.34737,32.22
COL. 7 DE SEPTIEMBRE,-17.729651,-63.170938,18.19
COL. ALAN FARAH,-17.79962,-63.0952,32.22
COL. ALFA Y OMEGA,-17.80245,-63.18944,25.53
COL. ALTO DE LA ALIANZA,-10.82369,-65.36181,36.61
COL. AMERICAN SCHOOL COOP.,-17.808713,-63.199976,8.28
COL. ANGEL LIMPIAS,-17.344556,-63.234855,56.87
COL. ANGELA PINCKERT,-17.80643,-63.12423,45
COL. ANGLO AMERICANO,-17.75651,-63.17102,8.09
COL. ARNULFO MARTINEZ,-14.86135,-66.74274,40.27
COL. ARTURO MEDEIROS,-17.723379,-63.190904,34.23
COL. ARZ. DANIEL RIVERO,-17.78975,-63.18145,20.59
COL. BAILON MERCADO ORTIZ,-17.75771,-63.16036,18.05
COL. BASILIO DE CUELLAR,-17.784300000000002,-63.1786,6.96
COL. BATALLON TREN,-17.79344,-63.12371,28.52
COL. BERTHA CUELLAR,-17.78985,-63.13752,30.45
COL. BOSTON COLLEGE,-17.77369,-63.17429,10.04
COL. BRITANICO,-17.7643,-63.17352,6.59
COL. BUENAS NUEVAS,-17.8226,-63.13937,37.87
COL. CAÑADA EL CARMEN,-17.814579,-63.153518,17.63
COL. CAÑADA PAILITAS,-17.81992,-63.14665,27.41
COL. CARMEN ORTIZ DE PEREDO,-17.75337,-63.1739,6.71
COL. CASTILLA LA MANCHA,-17.85068,-63.06415,43.94
COL. CENTRAL OBRERA DEPARTAMENTAL,-17.808349,-63.103957,42.47
COL. CENTRO EDUCATIVO CARITAS,-17.83982,-63.185588,20.76
COL. CENTRO INTERNO BOL. ALEMAN,-17.82509,-63.11688,52.14
COL. CIUDAD NIÑO JESUS,-17.82738,-63.18233,32.57
COL. CLUB DE LEONES #6,-17.7943,-63.18416,27.65
COL. COMPLEJO EDUCATIVO JAPON,-17.80635,-63.18984,36.96
COL. COVIPAL,-17.83965,-63.23657,61.6
COL. CUPESI TERRADO,-17.81237,-63.09699,54.7
COL. DANIEL RIVERO,-17.341276,-63.244606,60.52
COL. DIOS ES AMOR,-17.78535,-63.16571,13.35
COL. EDUARDO ABAROA,-17.323161,-63.239015,35.88
COL. EDUCATIVO COTOCA,-17.74604,-63.11758,41.2
COL. EDUCATIVO SAN ISIDRO,-17.80816,-63.13194,38.98
COL. EL BUEN SAMARITANO,-17.81198,-63.08056,49.39
COL. EL CARMEN 16 DE JULIO,-17.80798,-63.19295,21.66
COL. EL PAJONAL,-17.81264,-63.16722,15.07
COL. ESC. 29 DE DICIEMBRE,-17.809711,-63.211565,39.86
COL. ESC. CORONEL IGNACIO WARNES,-17.78679,-63.1825,17.08
COL. ESC. HILANDERIA,-17.80578,-63.21956,29.08
COL. ESC. HOLANDA,-17.88406,-63.19473,56.7
COL. ESC. HONORATO MEJIA,-17.861447,-63.213668,44.14
COL. ESC. LA BASE,-17.830009,-63.213665,35.45
COL. ESC. MAGISTERIO SUR,-17.86983,-63.18134,47.07
COL. ESC. MANUEL IGNACIO SALVATIERRA,-17.783337,-63.178445,13.09
COL. ESC. MARIA ALICIA PAZ B.,-17.85304,-63.19432,34.61
"COL. ESC. MAX FERNANDEZ ROJAS ""B""",-17.87381,-63.16543,53.42
COL. ESC. NAUN FERNANDEZ,-17.832721,-63.174044,33.43
COL. ESC. UNZAGA DE LA VEGA,-17.82803,-63.22689,40.47
COL. ESC.JUANA AZURDUY DE PADILLA,-17.84618,-63.10905,49.15
COL. ESC.PEREGRINA DAVALOS,-17.87231,-63.16763,53.78
COL. ESCUELA 2 DE AGOSTO,-17.75298,-63.15519,17.18
COL. ESCUELA AMBROCIO VILLARROEL,-17.790131,-63.226198,45.01
COL. ESCUELA JORGE URENDA TRIGO,-17.81518,-63.23063,26.3
COL. ESCUELA MAGISTERIO,-17.76229,-63.15523,15.22
COL. ESCUELA SARA PORRAS DE PINTO,-17.79663,-63.22218,26.18
COL. EVANGELICO NACIONAL,-10.81791,-65.35439,35.72
COL. FAUSTO MEDRANO,-17.78748,-63.12659,38.07
COL. FE Y ALEGRIA,-17.79493,-63.13117,32.82
COL. FE Y ALEGRIA,-17.343152,-63.228573,16.02
COL. FE Y ALEGRIA - ANICETO ARZE,-17.7986,-63.15612,17.82
COL. FE Y ALEGRIA LA MERCED,-17.78853,-63.19189,21.33
COL. FE Y ALEGRIA NUEVA AMERICA,-17.82978,-63.13412,46.16
COL. FELIX BASCOPE,-17.79648,-63.14538,20.83
COL. FELIX BASCOPE SANANDITA,-17.783358,-63.151288,16.27
COL. FRANZ TAMAYO,-17.341226,-63.232619,51.46
COL. GABRIEL RENE MORENO,-17.78357,-63.18595,14.35
COL. GILBERTO MENACHO,-17.79899,-63.12507,36.43
COL. GUALBERTO VILLARROEL,-17.77363,-63.16062,15.18
COL. GUAPILO JUNIN,-17.79171,-63.10236,29.92
COL. GUILLERMO KRUEGLER,-17.34654,-63.262484,23.67
COL. HENRRY PRINCE,-17.811941,-63.207249,23.56
COL. HERMANOS CAVANIS,-17.81549,-63.22014,23.12
COL. HERNANDO SILES,-17.861553,-63.175753,48.46
COL. HEROES DEL CHACO,-17.801187,-63.144536,27.19
COL. HISPANO AMERICANO,-17.79934,-63.13283,36.15
COL. HNAS. ARREDONDO(COL.JESUS PEREDO),-17.78474,-63.20106,25.51
COL. HUGO ARTEAGA,-20.03587,-63.51498,35.41
COL. HUMBERTO EGUEZ,-17.79594,-63.11185,38.29
COL. INSTITUTO AMERICANO JUAN WESLEY,-17.78164,-63.16511,13.24
COL. INTERNACIONAL (BETHESDA),-17.829402,-63.220349,33.26
COL. JHON KENNEDY,-17.78818,-63.19871,24.06
COL. JOAQUIN HURTADO CHAVEZ,-14.81511,-64.90425,34.39
COL. JOSE BARRERA,-15.89749,-63.188981,36.11
COL. JOSE CRONEMBOL,-17.35259,-63.25688,23.58
COL. JOSE MALKY JESUS MARIA,-17.808084,-63.181435,21.51
COL. JOSEFINA GOYTIA,-17.79632,-63.17068,11.07
COL. JUAN LA BORDE MOREL,-17.72277,-63.16035,20.65
COL. JUAN PABLO II,-17.80667,-63.169512,9.61
COL. JUAN ZABALA,-17.313657,-63.27181,35.34
COL. JULIO A. GUTIERREZ,-17.79789,-63.18236,18.47
COL. LA MADRE,-17.781252,-63.209141,31.86
COL. LA SALLE,-14.82676,-64.89569,26.1
COL. LAS AMERICAS II,-17.86217,-63.19033,41.36
COL. LUIS BARRANCO ALVAREZ,-17.84258,-63.12068,52.77
COL. LUIS ESPINAL CAMPOS,-17.86751,-63.16032,51.36
COL. LUZ DEL ORIENTE,-17.79396,-63.13755,30.37
COL. LUZ Y SABER II,-17.73533,-63.14804,23.41
COL. M. NELLY VDA. DE BERTERO,-17.81427,-63.11536,48.22
COL. MADRE CLARA RICCI (JESUS ROMAN VACA,-17.79584,-63.14016,30.47
COL. MAGDALENA POSTEL,-17.82687,-63.17854,21.7
COL. MARCELIANO MONTERO,-17.347172,-63.253634,21.06
COL. MARCOS CHAVEZ,-17.35353,-63.24632,34.51
COL. MARIA TERESA PULIDO,-17.8336,-63.1305,45.47
COL. MARISCAL SUCRE,-17.77866,-63.15338,13.51
COL. MATEO KULJIS SECUNDARIO,-17.837704,-63.225394,41.66
COL. MIRETTE SCIARONI,-17.76269,-63.18918,13.05
COL. MODULO FLAMINGO,-17.822854,-63.213693,20.81
COL. MONSEÑOR LUIS RODRIGUEZ P.,-17.81594,-63.19559,37.01
COL. NACIONAL 9 DE OCTUBRE,-17.844283,-63.156736,30.58
COL. NACIONAL CUATRO CAÑANDAS,-17.27547,-62.55971,71.01
COL. NACIONAL FLORIDA,-17.790386,-63.180267,9.87
COL. NACIONAL GUABIRA,-17.307656,-63.266133,38.86
COL. NACIONAL REYES,-14.29558,-67.33482,42.97
COL. NACIONAL SALESIANO,-17.78925,-63.16814,18.1
COL. NIMIA CENTELLA,-17.78436,-63.11775,37.23
COL. NORMANDIA JOSEFINA BALSAMO,-17.84974,-63.06764,52.47
COL. NUCLEO ESCOLAR RAMAFA,-17.80372,-63.1834,12.75
COL. NUEVA AMERICA,-17.76582,-63.15847,18.78
COL. NUEVA ESPERANZA,-17.74375,-63.14962,20.02
COL. OBISPO SANTISTEBAN,-17.342875,-63.253931,25.15
COL. OBISPO SANTISTEVAN,-17.78578,-63.1792,8.42
COL. OSCAR ARNULFO,-17.82932,-63.23433,38.52
COL. OVIDIO SANTISTEVAN,-17.74906,-63.19029,20.94
COL. PABLO SEXTO,-17.764242,-63.16352,19.95
COL. PAMPA DE LA CRUZ,-17.79276,-63.12878,27.21
COL. PAMPA DE LA ISLA,-17.77277,-63.12679,31.39
COL. PART. ALFRED B. NOBEL,-17.85304,-63.19432,24.82
COL. PEDRO GUTIERREZ,-17.7553,-63.16812,8.78
COL. PEDRO KRAMER,-10.99869,-66.06915,25.8
COL. PRIMAVERA,-17.81673,-63.1032,52.57
COL. PRINCIPE DE PAZ,-17.22497,-63.21263,37.58
COL. RAFAEL BUSTILLOS,-17.81418,-63.12329,47.72
COL. RAFAEL TERRAZAS,-17.3407,-63.25919,17.26
COL. RAMON DARIO GUTIERREZ,-17.80529,-63.164,12.45
COL. RENE MORENO,-17.33856,-63.25811,16.14
COL. RODOLFO JOEM,-17.82204,-63.16545,38.98
COL. SAGRADO CORAZON,-17.81605,-63.17153,26.62
COL. SAN CARLOS,-17.79229,-63.15134,17.25
COL. SAN FRANCISCO DE SALES DON BOSCO,-17.761086,-63.092299,22.69
COL. SAN FRANCISCO SUR,-17.85275,-63.16087,55.9
COL. SAN JOSE OBRERO,-17.345985,-63.240223,60.45
COL. SAN JOSE OBRERO,-10.99754,-66.06607,27.79
COL. SAN MARTIN DE PORRES,-17.77761,-63.2021,32.12
COL. SAN MARTIN NORTE,-17.7284,-63.14275,28.94
COL. SAN PABLO,-17.836934,-63.189671,16.41
COL. SAN SILVESTRE,-17.81204,-63.11408,50.09
COL. SAN VICENTE (EX UAB),-14.8346,-64.91093,31.86
COL. SANTA RAFAELA,-17.81471,-63.14124,29.74
COL. SECCIONAL MONSEÑOR SANTIESTEVAN,-17.779588,-63.181172,19.37
COL. SEFERINO NAMUCARA DON BOSCO,-17.775253,-63.177168,6.01
COL. SIMON BOLIVAR,-17.348138,-63.258013,23.56
COL. SOCIEDAD DE INGENIEROS,-17.79882,-63.19918,17.54
COL. SOR MARIA CRISTINA PEREZ,-17.78059,-63.14532,15.56
COL. TRISTAN ROCA,-17.78412,-63.16394,19.15
COL. U.E. ELVIRA FRIAS,-17.330133,-63.250157,66.12
COL. U.E. LA RESURECCION -ESC.CONVIF,-17.7436,-63.17194,7.34
COL. U.E. MONTECRISTO,-17.34976,-63.268056,52.39
COL. UNIDAD EDUCATIVA LA COLINA,-17.81892,-63.203112,30.1
COL. UNIDAD EDUCATIVA LA ESPERANZA,-17.352619,-63.239728,43.94
COL. UNIDAD EDUCATIVA VILLA VIRGINIA,-17.338106,-63.237336,69.84
COL. UV. LA MADRE,-17.78952,-63.21101,22.34
COL. VICTOR PAZ ESTENSORO,-17.817085,-63.186614,33.42
COL. VICTOR SALVATIERRA,-17.341555,-63.253661,22.38
COL. VILLA ALEGRE,-17.87461,-63.17024,66.6
COL. VILLA BOLIVIA,-17.746412,-63.189187,22.23
COL. VILLA FATIMA,-17.81076,-63.20216,28.93
COL. VILLA ROSARIO,-17.79646,-63.2086,45.37
COL. VIRGEN DE COTOCA,-17.744453,-63.1789,17.79
COL.ADVENTISTA SANTA CRUZ,-17.73494,-63.16123,18.08
COL.ANDRES ALBERDI SALEGUI,-13.7505,-65.4307,32.37
COL.ANTONIO VICENTE SEOANE,-17.80136,-63.19352,18.35
COL.CARCEL PUBLICA,-17.874405,-63.178911,48.84
COL.CARDENAL CUSHING JESUS MARIA,-17.79161,-63.18533,16.57
COL.CENTRO APRONDY,-17.77472,-63.15873,13.48
COL.CLUB DE LEONES,-17.7902,-63.17753,24.59
COL.CLUB DE LEONES #10,-17.7902,-63.17753,12.59
COL.CNEL.CARMELO CUELLAR J.,-13.23383,-63.79037,49.54
COL.DOMINGO LEIGUE (BOLIVIANO CANADIENSE,-17.77073,-63.16274,14.04
COL.ESC.  AMSTERDAN,-17.85901,-63.14972,59.54
COL.ESC. GRAL. ISMAEL MONTES GAMBOA,-17.744658,-63.109784,45.44
COL.ESC. INOCENCIO ROMAN,-17.85023,-63.06305,60.58
COL.ESC. ROCA CORONADO,-17.83748,-63.15992,49.98
COL.ESC. TIERRAS NUEVAS EL CARMEN,-17.845092,-63.21467,50.66
COL.ESC. VIRGEN DE URKUPINA,-17.748806,-63.102413,60.57
COL.ESCUELA BOLIVIA HOLANDA,-17.86903,-63.14489,63.8
COL.ESCUELA DELCY MARTINEZ SALINAS,-17.84095,-63.15478,45.57
COL.ESCUELA EL FUERTE,-17.84582,-63.14807,50.74
COL.ESCUELA NUEVA ESPERANZA,-17.832749,-63.074306,58.39
COL.ESCUELA POLY VILLARROEL,-17.8723,-63.1315,28.89
COL.GASTON GUILLAUX,-17.778769,-63.170991,13.86
COL.INDUSTRIAL INGAVI,-15.14148,-67.03596,63.78
COL.INST. DOMINGO SAVIO,-17.75908,-63.17353,13.07
COL.KINDER FANNY ANTELO,-17.75532,-63.15987,21.95
COL.LA SANTA CRUZ,-17.76664,-63.17908,9.43
COL.LICEO MARIA VACADIEZ,-17.76587,-63.16927,9.92
COL.MANUEL ANTONIO OJOPI,-10.81322,-65.35567,32.93
COL.MODULO # 5 ELVA ANTELO JORDAN,-17.860051,-63.167451,49.28
COL.MONS.DANIEL RIVERO,-13.74378,-65.42525,38.02
COL.POLIFUNCIONAL CALAMA,-17.837183,-63.218863,48.81
COL.REPUBLICA DEL URUGUAY,-17.77493,-63.17242,13.72
COL.ROMULO HERRERA,-17.78023,-63.17609,26.51
COL.SAN FRANCISCO DE BORJA,-14.85829,-66.75023,31.67
COL.SOCRATES PARADA EGUEZ,NA,NA,58.96
COL.TECNOLOGICO SANTA CRUZ,-17.76927,-63.15675,13.1
COL.U.  E. EL DORADO NORTE,-17.73737,-63.09708,47.29
COL.U. E. CARLOS LA TORRE,-17.77396,-63.12363,23.51
COL.U. E. EL RETOÑO,-17.73956,-63.07298,39.09
COL.U. E. ESCUELA ÑUFLO DE CHAVEZ,-17.747153,-63.158578,11.43
COL.U.E. 26 DE SEPTIEMBRE,-17.72374,-63.10361,53.27
COL.U.E. ALFREDO BARBERY CHAVEZ,-17.753441,-63.117965,38.6
COL.U.E. NUEVO HORIZONTE,-17.73058,-63.10971,51.15
COL.U.E.23 DE DICIEMBRE(J.  CARLOS TRUJI,-17.76983,-63.11529,27.85
COL.UNIDAD EDUCATIVA ESPAÑA,-11.518724,-66.778062,36.98
COL.UNIDAD EDUCATIVA LORENZO CABALLERO,-17.77592,-63.11751,20.07
COL.UNIDAD EDUCATIVA SAN JORGE,-17.80008,-63.18774,66.02
COL.VENANCIO AQUINO VILLEGAS,-17.74152,-63.18151,11.63
COL.WENSESLAO MONTERO,-17.76315,-63.15583,14.03
COLEGIO  23 DE ABRIL,-17.748562,-63.14577,32.22
COLEGIO  6 DE JUNIO,-17.75763,-63.16083,16.94
COLEGIO ADELA ZAMUDIO,-17.8329,-63.17396,38.13
COLEGIO ANTONIO VACA DIEZ,-10.81294,-65.35497,33.53
COLEGIO BERTHA CUELLAR,-17.77751,-63.1344,22.29
COLEGIO CASTULO CHAVEZ,-17.77663,-63.18775,13.14
COLEGIO CUPESO DE LOS REYES,-17.82436,-63.10786,55.47
COLEGIO DOMINGO SAVIO - DON BOSCO,-17.835712,-63.199394,37.58
COLEGIO DON BOSCO,-17.79467,-63.17539,11.56
COLEGIO EDUARDO ABAROA,-11.00703,-66.06204,30.74
COLEGIO EL PROGRESO,-17.827127,-63.205757,48.34
COLEGIO ELVIRA PARADA,-17.75476,-63.12992,32.48
COLEGIO FUENTE DEL SABER,-17.872962,-63.161888,59.78
COLEGIO GUILLERMO SEARLE,-13.74432,-65.42456,37.62
COLEGIO IGNACIO WARNES,-17.86588,-63.15627,54.74
COLEGIO ISMAEL CARRASCO TELLERIA,-11.01021,-66.05402,41.42
COLEGIO JOSEFINA BALSAMO( LOS TUSEQUIS),-17.78086,-63.1523,22.38
COLEGIO JUSTO LEIGUE,-17.798734,-63.16701,12.64
COLEGIO LUZ Y VERDAD,-17.876004,-63.187236,53.17
COLEGIO MANUEL VICENTE BALLIVIAN,-10.81116,-65.35051,26.35
COLEGIO MARCELINO CHAMPAGNAT,-17.85419,-63.18896,23.05
COLEGIO MARISTA,-17.788978,-63.173047,8.86
COLEGIO MARTIN SAPP,-17.825119,-63.174668,33.98
COLEGIO NACIONAL SANTA ROSA,-14.07823,-66.78864,35.09
COLEGIO NAL. BENEMERITOS DE LA PATRIA,-17.75773,-62.99899,32.79
COLEGIO NESTOR SUAREZ,-17.81688,-63.17374,27.38
COLEGIO PLAN 4000,-17.884708,-63.175941,62.43
COLEGIO RAQUEL SOSSA,-17.770904,-63.197872,9.52
COLEGIO SAN FELIPE,-17.76667,-63.122998,43.22
COLEGIO SAN FRANCISCO,-11.00753,-66.07206,30.09
COLEGIO SAN FRANCISCO DE ASIS,-17.856931,-63.144289,47.99
COLEGIO SAN JORGE,-17.87261,-63.1956,50.42
COLEGIO SAN JUAN,-11.03188,-66.04671,45.67
COLEGIO SIMON BOLIVAR,-17.82358,-63.1228,53.88
COLEGIO TOKIO,-17.775086,-63.180055,34.75
COLEGIO VILLA GLADYS THEVENETH,-17.82021,-63.11954,56.09
COLEGIO WALTER ALPIRE DURAN,-11.01164,-66.05729,31.25
COMITE CIVICO TUMICHUCUA,-11.14738,-66.16624,34.98
DR.ELMER BOTSFORD,-10.8088,-65.35297,30.53
ESC  ALFREDO VASQUEZ,-17.07037,-63.484074,18.13
ESC LOS SAUCES I,-17.728327,-63.179549,27.58
ESC VILLA NORTE,-17.747036,-63.180383,17.67
"ESC, MARIA DE LOS ANGELES",-15.623256,-63.082425,56.2
"ESC, NUCLEO SAN LUIS",-18.1413,-63.48095,44.58
"ESC, REPUBLICA DEL BRASIL",-17.569681,-63.230297,27.69
ESC.  29 DE JUNIO,-18.05655,-63.42663,50.65
ESC.  ALFREDO VACA FLOR,-16.670979,-63.864672,86.61
ESC.  EL JAGUE,-18.02102,-64.32232,45.83
ESC.  MIXTO LOS ANDES,-16.885189,-63.832018,82.55
ESC.  UNID. EDU. FELIX PAZ VIEIRA,-17.293579,-63.043467,51.34
ESC. 1 DE SEPTIEMBRE,-17.09076,-63.08397,61.64
ESC. 10 DE NOVIEMBRE,-16.430695,-63.107362,70.66
ESC. 12 DE ABRIL,-18.45699,-63.21368,46.43
ESC. 12 DE JULIO,-20.04149,-63.53097,41.38
ESC. 16 DE MARZO,-20.04896,-63.52925,44.88
ESC. 17 DE FEBRERO,-15.249007,-63.864105,86.45
ESC. 24 DE SEPTIEMBRE,-20.04004,-63.5203,35.34
ESC. 25 DE MAYO,-18.136474,-62.049977,84.62
ESC. 25 DE MAYO (CHIQUITOS),-17.665,-62.72187,80.22
ESC. 26 DE AGOSTO,-17.460065,-62.621185,65.76
ESC. 26 DE OCT. FE Y ALEGRIA,-16.801311,-62.757887,91.24
ESC. 3 DE MAYO,-17.619489,-62.229437,54.16
ESC. 4 DE MARZO,-16.937875,-63.901851,88.85
ESC. 6 DE ABRIL,-15.6334,-63.567876,65.48
ESC. 9 DE ABRIL,-16.60111,-63.66607,68.25
ESC. ABEL ITURRALDE,-20.04487,-63.52305,35.7
ESC. ADHEMAR ORTIZ,-17.610627,-63.525299,61.61
ESC. ADRIAN JUSTINIANO ROCA,-17.59505,-63.01891,36.5
ESC. AGUAICES,-16.896858,-63.310846,65.76
ESC. ALBERTO RIBERA TAPIA,-18.15956,-63.50418,57.11
ESC. ALFREDO SMITH,-16.32987,-62.90907,39.61
ESC. ALTA GRACIA,-13.63675,-63.66943,37.25
ESC. ALTO SECO,-18.870714,-64.073897,43.66
ESC. ANANIAS MELENDRES,-17.97899,-64.03188,63.09
ESC. ANGEL MARIA LIMPIAS,-17.35743,-63.39923,24.5
